H-index,Name,Organization,Gender,Award and Membership
70,Erol Gelenbe,Imperial College| London,Male,ACM Fellow| IEEE Fellow| SIGMETRICS Life-Time Achievement Award| Member of the Turkish Academy of Sciences| Member of the Hungarian Academy of Scences| Member of the French National Academy of Engineering| Chevalier de la Legion d'Honneur| Member of the Polish Academy of Sciences| Member of the Royal Academy of Sciences| Letters and Arts of Belgium 
70,Jim Gray,Microsoft,Male,Turing Award| ACM Fellow 
70,David Karger,MIT,Male,ACM Fellow 
70,C.-C. Jay Kuo,USC,Male,IEEE Fellow| AAAS Fellow| SPIE Fellow 
70,H. Vincent Poor,Princeton,Male,NA
70,Prabhakar Raghavan,Google,Male,ACM Fellow| IEEE Fellow| Member of the National Academy of Engineering 
70,Adi Shamir,Weizmann,Male,Turing Award| IACR Fellow| Member of Academy of Europe (Academia Europaea) 
70,Kishor S. Trivedi,Duke U,Male,IEEE Fellow| IEEE Technical Achievement Award 
70,Athanasios Vasilakos,Lulea U of Technology| Sweden,Male,NA
70,Terry Winograd,Stanford,Male,NA
70,Moti Yung,Snapchat,Male,ACM Fellow| IEEE Fellow| IACR Fellow 
69,Tarek Abdelzaher,UIUC,Male,NA
69,Thomas Anderson,U Washington,Male,ACM Fellow 
69,Yoshua Bengio,U Montreal,Male,NA
69,James Bezdek,U West Florida,Male,IEEE Frank Rosenblatt Award 
69,H. V. Jagadish,U Michigan,Male,ACM Fellow 
69,Jon Kleinberg,Cornell,Male,ACM Fellow| Member of the National Academy of Engineering| Member of the National Academy of Sciences| MacArthur Fellow| ACM Infosys Foundation Award| Member of the American Academy of Arts & Sciences| ACM-AAAI Allen Newell Award 
69,Edward A. Lee,Berkeley,Male,NA
69,Jian Pei,Simon Fraser U,Male,ACM Fellow| IEEE Fellow 
68,Serge Abiteboul,INRIA,Male,ACM Fellow| Member of Academy of Europe (Academia Europaea)| Member of the French Academy of Sciences 
68,Markus Gross,ETH Zurich,Male,ACM Fellow| Member of the German Academy of Sciences 
68,Eric Horvitz,Microsoft,Male,ACM Fellow| ACM-AAAI Allen Newell Award 
68,Pradeep K. Khosla,UCSD,Male,IEEE Fellow| AAAI Fellow| AAAS Fellow| Member of the National Academy of Engineering 
68,Bing Liu,U Illinois at Chicago,Male,IEEE Fellow 
68,Olvi L. Mangasarian,U Wisconsin,Male,NA
68,Vern Paxson,ICSI,Male,ACM Fellow 
68,Ronald L. Rivest,MIT,Male,Turing Award| ACM Fellow| Member of the National Academy of Engineering| Member of the National Academy of Sciences| IACR Fellow| Member of the American Academy of Arts & Sciences 
68,Daniela Rus,MIT,Female,ACM Fellow| MacArthur Fellow 
68,Kang G. Shin,U Michigan,Male,ACM Fellow| IEEE Fellow 
68,Eduardo Sontag,Rutgers,Male,IEEE Fellow 
68,Nitin Vaidya,UIUC,Male,NA
68,John von Neumann,Princeton,Male,NA
67,Ricardo Baeza-Yates,Yahoo Labs,Male,ACM Fellow| IEEE Fellow 
67,Pierre Baldi,UC Irvine,Male,ACM Fellow| AAAS Fellow| AAAI Fellow| IEEE Fellow| ISCB Fellow 
67,Anantha Chandrakasan,MIT,Male,NA
67,Shih-Fu Chang,Columbia,Male,IEEE Fellow| IEEE Kiyo Tomiyasu Award 
67,Ingemar J. Cox,U College London,Male,ACM Fellow| IEEE Fellow 
67,William Freeman,MIT,Male,IEEE Fellow 
67,Ramesh Govindan,USC,Male,ACM Fellow 
67,Gabor Herman,City University of New York,Male,IEEE Fellow 
67,Maurizio Lenzerini,Sapienza U di Roma,Male,ACM Fellow| Member of Academy of Europe (Academia Europaea) 
67,Chris Taylor,U Manchester,Male,NA
67,George Varghese,Microsoft,Male,ACM Fellow| IEEE Kobayashi Award| ACM SIGCOMM Lifetime Award 
67,Jeffrey Vitter,U Kansas,Male,ACM Fellow| IEEE Fellow| AAAS Fellow 
67,Alex Waibel,CMU and U Karlsruhe,Male,NA
66,Elisa Bertino,Purdue U,Female,ACM Fellow| IEEE Fellow| IEEE Technical Achievement Award 
66,Daniel Bobrow,Xerox,Male,ACM Fellow 
66,Dan Boneh,Stanford,Male,ACM Infosys Foundation Award| IACR Fellow 
66,William Dally,Stanford,Male,ACM Fellow| IEEE Fellow| Member of the National Academy of Engineering| Fellow of the American Academy of Arts & Sciences 
66,Robert Haralick,City U of New York,Male,NA
66,Martial Hebert,CMU,Male,NA
66,John Hennessy,Stanford,Male,ACM Fellow| IEEE Fellow| Member of the National Academy of Engineering| Member of the National Academy of Sciences| Member of the American Academy of Arts & Sciences 
66,Jason H. Moore,U Pennsylvania,Male,AAAS Fellow| Kavli Fellow| ACMI Fellow 
66,John Mylopoulos,U Toronto,Male,FRSC 
66,Allen Newell,CMU,Male,Turing Award| IEEE Fellow| Member of the American Academy of Arts & Sciences 
66,Michael Wooldridge,U Liverpool,Male,AAAI Fellow 
66,Zhengyou Zhang,Microsoft,Male,ACM Fellow| IEEE Fellow 
65,Wolfram Burgard,U Freiburg,Male,NA
65,Anoop Gupta,Microsoft,Male,NA
65,Jean-Pierre Hubaux,EPFL,Male,ACM Fellow| IEEE Fellow 
65,Janusz Kacprzyk,Polish Academy of Sciences,Male,IEEE Fellow| Member of Academy of Europe (Academia Europaea) 
65,Anupam Joshi,U Maryland| Baltimore County,Male,NA
65,Frank Leymann,U Stuttgart,Male,NA
65,Nick McKeown,Stanford,Male,ACM Fellow| IEEE Fellow 
65,Sankar K. Pal,Indian Statistical Institute,Male,IEEE Fellow| IAPR Fellow 
65,Steffen Staab,U Koblenz-Landau,Male,NA
65,Ion Stoica,Berkeley,Male,ACM Fellow 
65,Geoffrey Voelker,UCSD,Male,NA
65,Haim J. Wolfson,Tel Aviv U,Male,NA
64,Luca Benini,U Bologna,Male,NA
64,Larry Davis,U Maryland,Male,ACM Fellow| IEEE Fellow 
64,Susan Dumais,Microsoft,Female,ACM Fellow 
64,Joseph Y. Halpern,Cornell,Male,ACM Fellow 
64,Wen-Mei W. Hwu,UIUC,Male,ACM Fellow 
64,Somesh Jha,U Wisconsin,Male,NA
64,George Karypis,U Minnesota,Male,NA
64,Dimitris Metaxas,Rutgers,Male,Fellow of American Institute of Medical and Biological Engineers 
64,Adrian Perrig,ETH Zurich,Male,NA
64,Raghu Ramakrishnan,Microsoft,Male,ACM Fellow| IEEE Fellow 
64,Cordelia Schmid,INRIA,Female,NA
64,Ivan Stojmenovic,U Ottawa,Male,IEEE Fellow| Member of Academy of Europe (Academia Europaea) 
63,Christophe Diot,Thomson Technology Paris Lab,Male,ACM Fellow 
63,Norman I. Badler,U Penn,Male,NA
63,Nir Friedman,Hebrew U of Jerusalem,Male,NA
63,David S. Johnson,AT&T Labs,Male,ACM Fellow| SIAM Fellow 
63,Sara Kiesler,CMU,Female,ACM Fellow 
63,Ming C. Lin,UNC,Female,ACM Fellow| IEEE Fellow 
63,Andrew McCallum,U Mass| Amherst,Male,AAAI Fellow 
63,Theodore S. Rappaport,NYU,Male,NA
63,Michael Reiter,UNC,Male,ACM Fellow| IEEE Fellow 
63,Daniel Thalmann,EPFL,Male,NA
62,Tim Cootes,U Manchester,Male,NA
62,C. Lee Giles,Penn State,Male,ACM Fellow| IEEE Fellow 
62,William Gropp,UIUC,Male,CM Fellow| IEEE Fellow| SIAM Fellow| Member of the National Academy of Engineering 
62,Nicholas J. Higham,U Manchester,Male,Fellow of the Royal Society| SIAM Fellow 
62,George Pappas,U Penn,Male,NA
62,Larry Peterson,Princeton,Male,ACM Fellow| Member of the National Academy of Engineering 
62,Gerard Salton,Cornell,Male,ACM Fellow 
