Rank,Name,Net Worth,Age,Residence,Source,Gender
361,W. Herbert Hunt,1.9 B,87,Dallas  TX,oil,Male
361,Bruce Karsh,1.9 B,61,Los Angeles  CA,private equity,Male
361,Howard Marks,1.9 B,70,New York  NY,private equity,Male
361,Drayton McLane  Jr.,1.9 B,80,Temple  TX,Wal-Mart  logistics,Male
361,Kavitark Ram Shriram,1.9 B,59,Menlo Park  CA,venture capital  Google,Male
361,Mark Stevens,1.9 B,56,Atherton  CA,venture capital,Male
361,Glen Taylor,1.9 B,75,Mankato  MN,printing,Male
361,Elaine Wynn,1.9 B,74,Las Vegas  NV,casinos  hotels,Female
361,Richard Yuengling  Jr.,1.9 B,73,Pottsville  PA,beer,Male
374,Louis Bacon,1.8 B,60,Oyster Bay  NY,hedge funds,Male
374,Edward Bass,1.8 B,71,Fort Worth  TX,oil  investments,Male
374,Lee Bass,1.8 B,60,Fort Worth  TX,oil  investments,Male
374,Sid Bass,1.8 B,74,Fort Worth  TX,oil  investments,Male
374,Alexandra Daitch,1.8 B,53,Old Lyme  CT,Cargill,Female
374,Eric Lefkofsky,1.8 B,47,Glencoe  IL,Groupon,Male
374,Jeffrey Lurie,1.8 B,65,Wynnewood  PA,Philadelphia Eagles,Male
374,Sarah MacMillan,1.8 B,62,Los Angeles  CA,Cargill,Female
374,Bobby Murphy,1.8 B,28,Venice  CA,Snapchat,Male
374,Jennifer Pritzker,1.8 B,66,Chicago  IL,hotels  investments,Female
374,Linda Pritzker,1.8 B,63,Missoula  MT,hotels  investments,Female
374,Phillip Ragon,1.8 B,67,Boston  MA,health IT,Male
