Rank,Name,Net Worth,Age,Source,Gender
300,Zhou Yifeng,$1.15 B,47,chemicals,Male
300,Zhou Yongli,$1.15 B,61,conglomerate,Male
304,Cheng Xue,$1.14 B,46,soy sauce,Female
304,Lu Jonathan,$1.14 B,NA,Alibaba,Male
304,Wang Junmin,$1.14 B,48,pharmaceuticals,Male
304,Xiu Laigui,$1.14 B,62,pharmaceuticals,Male
304,Xu Jinfu,$1.14 B,52,chemicals,Male
304,Zhao Xiaoqiang,$1.14 B,49,fashion  entertainment,Male
310,Jin Huiming,$1.13 B,63,Real Estate,Male
310,Lu Yonghua,$1.13 B,53,electronics,Male
310,Yang Zhimao,$1.13 B,53,utilities  real estate,Male
313,Fu Kwan,$1.12 B,59,real estate  diversified,Male
313,Tse Ping,$1.12 B,64,pharmaceuticals,Male
313,Swift Xie,$1.12 B,NA,drones,Male
313,Zhang Changhong,$1.12 B,58,financial information service,Male
313,Zheng Xiaodong,$1.12 B,52,manufacturing,Male
318,Cao Kejian,$1.11 B,54,air compressors  drills,Male
318,Lv Li,$1.11 B,40,Electronics,Female
318,Shen Hanbiao,$1.11 B,44,furniture,Male
318,Zhu Jiman,$1.11 B,52,pharmaceuticals,Male
322,Ai Lihua,$1.1 B,58,electrical equipment,Male
322,Chen Xiaxin,$1.1 B,54,Manufacturing,Male
322,Chen Zuyuan,$1.1 B,NA,real estate  pharmaceutical,Male
322,Gao Dekang,$1.1 B,64,apparel,Male
322,Kang Jingwei,$1.1 B,47,e-commerce,Male
322,Li Dongjun,$1.1 B,NA,logistics,Male
322,Li Hongxin,$1.1 B,63,paper & related products,Male
322,Li Qiong,$1.1 B,39,online games,Female
322,Lin Dingqiang,$1.1 B,50,real estate,Male
322,Liu Hanyuan,$1.1 B,52,Argi Business,Male
322,Liu Ming Hui,$1.1 B,53,natural gas distribution,Male
322,Peng Lei,$1.1 B,43,Alibaba,Female
322,Shang Jiyong,$1.1 B,48,tyre  cable  chemicals,Male
322,Wang Yong,$1.1 B,66,food sweeteners,Male
322,Yao Xinyi,$1.1 B,52,air conditioning,Male
322,Ye Yuanxi,$1.1 B,54,decorations,Male
338,Li Yong,$1.09 B,NA,chemicals,Male
339,Chen Yansheng,$1.08 B,46,toys  entertainment,Male
339,Ma Yunsheng,$1.08 B,54,energy,Male
339,Wang Junhao,$1.08 B,44,regional airline,Male
342,Chen Jiancheng,$1.07 B,57,manufacturing,Male
342,He Zhiping,$1.07 B,52,investments,Male
342,Huang Bingwen,$1.07 B,62,cigarette packaging,Male
342,Liu Jincheng,$1.07 B,52,lithium battery,Male
342,Michael Tsang,$1.07 B,45,telecommunications,Male
342,Wei Shaojun,$1.07 B,53,real estate,Male
348,Ao Xiaoqiang,$1.06 B,52,electrical equipment,Male
348,Lu Chuping,$1.06 B,51,Manufacturing,Male
348,Tang Jian,$1.06 B,60,IT services,Male
348,Xu Maodong,$1.06 B,49,investment,Male
352,Wang Yanqing,$1.05 B,50,electrical equipment,Male
352,Xia Zuoquan,$1.05 B,54,automobiles,Male
352,Xiang Guangming,$1.05 B,53,waste  environ svcs,Male
352,Zhou Mingjie,$1.05 B,59,lighting installations,Male
356,Huang Shaowu,$1.03 B,45,mobile phone retailing,Male
356,Ji Qi,$1.03 B,50,Hotel & Motels,Male
356,Li San Yim,$1.03 B,66,manufacturing,Male
356,Tsui Cham To,$1.03 B,50,wastewater treatment,Male
356,Wang Jinshu,$1.03 B,59,chemicals,Male
361,Cai Xiaoru,$1.02 B,37,electronic components,Male
361,Che Fengsheng,$1.02 B,53,pharmaceuticals,Male
361,Chen Dejun,$1.02 B,46,logistics,Male
361,Li Zhen,$1.02 B,52,lithium batteries,Male
361,Liao Chang,$1.02 B,50,wine,Male
361,Mi Enhua,$1.02 B,58,Retailing,Male
361,Shao Genhuo,$1.02 B,51,agribusiness,Male
368,Chen Jiangtao,$1.01 B,55,software,Male
368,Cheng Xianfeng,$1.01 B,48,pharmaceuticals,Male
368,Yang Keng,$1.01 B,55,real estate,Male
371,Gao Junfang,$1 B,62,pharmaceuticals,Female
371,He Simo,$1 B,51,power supply manufacturer,Male
371,He Zhitao,$1 B,34,IT,Male
371,Hoi Kin Hong,$1 B,64,Real Estate,Male
371,Hu Keqin,$1 B,58,chemicals,Male
371,Jiang Ganjun,$1 B,52,home & office products,Male
371,Li Yihai,$1 B,53,pharmaceuticals,Male
371,Li Zhaoting,$1 B,51,optoelectronic display & renewable energy,Male
371,Lin Fanlian,$1 B,55,gas,Male
371,Liu Canglong,$1 B,61,conglomerate,Male
371,Liu Changqing,$1 B,64,banking equipment,Male
371,Liu Heguo,$1 B,43,online games,Male
371,Liu Zhendong,$1 B,NA,industrial park operation,Male
371,Lu Feng,$1 B,NA,financial data,Male
371,Lv Yongxiang,$1 B,66,magnetic switches,Male
371,Neil Shen,$1 B,46,venture capital investing,Male
371,Shi Zhongwei,$1 B,66,machinery,Male
371,Song Rui,$1 B,41,Fertilizer,Male
371,Wan Long,$1 B,76,Food,Male
371,Wang Miaotong,$1 B,59,auto parts,Male
371,Wang Qicheng,$1 B,36,entertainment,Male
371,Wang Qunbin,$1 B,46,conglomerate,Male
371,Wang Wenbiao,$1 B,59,natural gas  fertilizers,Male
371,Bruno Wu,$1 B,50,entertainment,Male
371,Yan Yude,$1 B,55,customer services,Male
371,Yao Xinquan,$1 B,49,diversified,Male
371,Yin Mingshan,$1 B,78,autos,Male
371,Zhao Hongfei,$1 B,42,software,Male
371,Zhong Naixiong,$1 B,NA,conglomerate,Male
371,Zhou Bajin,$1 B,81,auto parts,Male
